,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4157,2687375,Queen Size Foam Mattress,10264372,Tyrell,Manhattan,Harlem,40.82305,-73.93739,Private room,70,1,6,2015-10-12,0.11,1,0
21242,16871240,"Cute Apartment for 2-4 people, IDEAL location NYC",112439486,Ryan,Queens,Sunnyside,40.74561,-73.91927,Entire home/apt,88,3,2,2017-02-20,0.07,1,0
48211,36140236,Beautiful room near central park,271393608,Michael,Manhattan,Hell's Kitchen,40.7664,-73.98586,Shared room,69,1,1,2019-06-30,1.0,6,24
25334,20263109,Modern Studio Loft in the heart of Sea Port,44298161,Nicolas,Manhattan,Financial District,40.70676,-74.00612,Entire home/apt,200,3,14,2019-02-24,0.61,1,10
23877,19271040,Modern Beautiful Bedford Stuyvesant Brownstone,134946389,Giovanni,Brooklyn,Bedford-Stuyvesant,40.6861,-73.93997,Entire home/apt,60,2,146,2019-07-07,5.82,5,88
2197,1026565,Peaceful Park Slope near subways,825252,Meredith,Brooklyn,Park Slope,40.67651,-73.98007,Entire home/apt,125,2,45,2017-06-19,0.66,1,0
36884,29316878,Cute little room in a large Brooklyn house.,65407018,Harmony,Brooklyn,Greenpoint,40.72334,-73.93745,Private room,45,1,13,2019-06-09,1.63,5,160
25387,20305451,Best of Brooklyn & Beside Manhattan!,48704899,Dara,Brooklyn,Park Slope,40.67481,-73.97258,Entire home/apt,200,3,41,2019-06-02,1.84,1,1
41611,32355251,PRIVATE bath &  entrance in hip Greenpoint,56470374,Jacqueline,Brooklyn,Greenpoint,40.7293,-73.95075,Private room,145,21,1,2019-07-01,1.0,1,343
22594,18274492,Studio apartment in NYC,5949541,Helen,Staten Island,Grant City,40.58023,-74.10725,Entire home/apt,80,3,68,2019-06-30,2.55,1,50
36352,28917505,Small room for 1 Person-Best Value,35927005,Kathy,Brooklyn,Borough Park,40.63448,-74.00563,Private room,50,1,2,2019-06-20,0.24,10,365
41865,32546497,Spacious One Bedroom near Lower East Side!,244573712,Daniel,Manhattan,Chinatown,40.71411,-73.99375,Entire home/apt,145,2,3,2019-03-31,0.79,1,0
